,plus_code,place_name,subtype,masks,limited_entry,early_close,has_early,early_hours,delivery,has_pt,has_live,place_id
102,"2GF8+PV Santa Monica, California, USA",Co-Opportunity+Market+Santa+Monica,natural,1,0,1,1,"[[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8],[true,1,7,8]]",1,1,0,
103,"6CM6+49 Canoga Park, Los Angeles, CA, USA",De+Soto+Plaza+Liquor+%26+Junior,liquor store,-1,-1,-1,-1,,0,0,0,
104,"3W62+QH Rosemead, California, USA",Del+Mar+Supermarket,supermarket,-1,-1,-1,-1,,0,1,1,
105,"4PMX+8G Glendale, California, USA",El+Mambi+Mercado,"latin, grocery store",-1,-1,-1,-1,,0,0,0,
106,"6FH2+FG Northridge, Los Angeles, CA, USA",El+Progresso+Supermarket,mexican,-1,-1,-1,-1,,0,1,0,
107,"3MQF+8G Los Angeles, California, USA",El+Rancho+Super+Market,mexican,-1,-1,-1,-1,,0,1,1,
108,"7HM4+P4 San Fernando, California, USA",El+Super,mexican,-1,-1,-1,-1,,0,1,1,
109,"6HX3+2F Arleta, Los Angeles, CA, USA",El+Super,mexican,-1,-1,-1,-1,,0,1,1,
110,"6GGX+FM Panorama City, Los Angeles, CA, USA",El+Super,mexican,-1,-1,-1,-1,,0,1,1,
111,"6H3Q+2Q North Hollywood, Los Angeles, CA, USA",El+Super,mexican,-1,-1,-1,-1,,0,1,1,
112,"3X7H+C4 El Monte, California, USA",El+Valley+Center,discount,-1,-1,-1,-1,,-1,0,0,
113,"3JGV+99 Los Angeles, California, USA",Erewhon+Market,"grocery store, natural",0,0,0,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
114,"2GQF+2W Santa Monica, California, USA",Erewhon+Market,"grocery store, natural",0,0,0,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
115,"XGQQ+W4 Venice, Los Angeles, CA, USA",Erewhon+Market,"grocery store, natural",0,0,0,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,1,
116,"47RV+92 Calabasas, California, USA",Erewhon+Market,"grocery store, natural",0,0,0,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,0,
117,"2FWF+WR Pacific Palisades, Los Angeles, CA, USA",Erewhon+Market,"grocery store, natural",0,0,0,1,"[[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7],[true,1,6,7]]",1,1,0,
118,"6958+HQ Canoga Park, Los Angeles, CA, USA",Fields+Market,supermarket,-1,-1,-1,-1,,0,1,1,
119,"6C5G+MX Canoga Park, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
120,"5FV8+3X Reseda, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
121,"6GH7+2G North Hills, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
122,"6G24+7F Van Nuys, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
123,"6GGX+7M Panorama City, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
124,"7HX5+W6 Sylmar, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
125,"6HVJ+GX Arleta, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
126,"7HGQ+43 Pacoima, Los Angeles, CA, USA",Food+4+Less,"discount, warehouse market",,1,0,0,,1,1,1,
